[0,0] 296233792536035389557213880448586170063345555337953398793296490029073442466634162205114354470094732341621195769682965609554402322192109928448000000000
[1,0] 827654467737801441761158523256485804998513659066571629742167818917171049275715755476518161958724573147007287534938814114956453645811449856000000000
[1,1] -6523316151987967352990249772199720467083443114284179660851390075404607936207753857924445492498921565070029607727835899543363465113929515008000000
[2,0] 1052400806092611446856999986107551674838411537694207363060952614565025984710606528836048307584279942134725070972248818996170453521163878400000000
[2,1] -7790831230224553845619920039061874058191704974104843575635713889918310207541091386269200092033671215015256648528418717411188423721484288000000
[2,2] 48132525672551364194446453112149335044105750285901881988767297329087812391392712473356242447257671803604810557368203650854160412952231936000
[3,0] 763793342374511313548683084126276590480877067197867487762087595057578443359292576413772316156824792546895132331605931297209634835660800000000
[3,1] 869569770820404595502434799477023156248028216798583360081120653277822291736126032358110641883287178871354461215393374088924051695206400000
[3,2] -29562988978988124366982032298830067782771985788614555834682084458930747937354038723730365039001202211785509729736190183365918008016896000
[3,3] 21942588891600446229148419904150423440167387524131347574630518470322757563473397245204673966466259063385811782971369796057977508069376
[4,0] 333465316180572734592876437380997330250702055108886926488399579295412452713595878190631688256806978486509892534968727830040957419520000000
[4,1] 1171835447060344532055184048395200133268219629236898194994791361987466033052276486840595447183813867064400129251699577897599421644800000
[4,2] 4313337050456090798394637947210234420040890594551325420048945876911325036921534508045768494687185368523833037759187757614732253593600
[4,3] -4257539415507894795016889234880726005419270325916093000059228578907578193686569096747725032341650427993524111004212513640284160000
[4,4] 1253874239803132476415572633249084248710571426196933708644278178687163481733608589985256961276073376504035793024144071720960000
[5,0] 83096324073815813729499618640980212674032007733865837824599989224419802320521540547654133598412627098660933044355162408726036480000000
[5,1] -144873234429085925741483829349356900975029086453703681590916830024403059341448168846998847366413036575590255662503774698183065600000
[5,2] -95693899176646361331181394802997794862884784049415906190672961341804584776735449488747041449559444492830167107602915457079705600
[5,3] 156817153400335760966516634241062442217943193536046286184258561020045536734017532303925953030594851361448996740825656328192000
[5,4] -113328854481402929859901493887185496830892002557261172571874206420802224302360369844649524438664979465848736295394476032000
[5,5] -1696664490389689128589448807767619331680602280694637692182892489756558643655998427762105401689772687945443857995161600
[6,0] 9423433921961827366884128200734210777488332325797120635170209524669815515538674530293840287553811654764702184076491783929856000000
[6,1] -14909452552953104792430894970583748095372086537324623837203225211227441325092423342971946291264419786628422284074067154698240000
